title,url,url_mobile,social_image,published_date,domain,source_country,language,scraped_status,full_text,ingested_at
"ON THE SCENE : Having fun while hanging by one fingers | News , Sports , Jobs",https://www.lakeplacidnews.com/opinion/columns/2025/11/20/on-the-scene-having-fun-while-hanging-by-ones-fingers/,,https://ogden_images.s3.amazonaws.com/www.lakeplacidnews.com/images/2025/11/19131932/NAJ_JosiahAllison-649x840.jpg,20251120T064500Z,lakeplacidnews.com,United States,English,pending,,2025-11-20T08:48:26.640049
"China  is not just talking , it walking the walk , say green industry leaders on why the eastern superpower is a new leader in climate action",https://fortune.com/2025/11/20/china-is-walking-the-walk-on-climate-action-leadership-say-green-industry-figures/,,https://fortune.com/img-assets/wp-content/uploads/2025/11/54931602318_1b317390f2_o.jpg,20251120T064500Z,fortune.com,United States,English,pending,,2025-11-20T08:48:26.641037
Brazil Lula faces obstacles in push for agreement at climate summit - Grenada Chronicle – Daily Grenada And Caribbean News,https://grenadachronicle.com/brazils-lula-faces-obstacles-in-push-for-agreement-at-climate-summit/,,https://grenadachronicle.com/app/uploads/2025/11/AP25324005455236-1763599984-uU0BeD.jpg,20251120T063000Z,grenadachronicle.com,United States,English,pending,,2025-11-20T08:48:26.643036
Polluted Islamic Terror State to Host Next UN Climate Summit,https://www.frontpagemag.com/polluted-islamic-terror-state-to-host-next-un-climate-summit/,,https://www.frontpagemag.com/wp-content/uploads/2025/11/erdogan-frame.png,20251120T063000Z,frontpagemag.com,United States,English,pending,,2025-11-20T08:48:26.644037
AP News in Brief at 12 : 04 a . m . EST,https://www.yumasun.com/news/national_news/ap-news-in-brief-at-12-04-a-m-est/article_bf2c7d70-3096-58ee-9099-6273c5b32152.html,,https://bloximages.newyork1.vip.townnews.com/yumasun.com/content/tncms/custom/image/2b499f16-f28d-11e5-bae5-d756cbd1f5e4.jpg,20251120T063000Z,yumasun.com,United States,English,pending,,2025-11-20T08:48:26.645037
Turkiye to host COP31 climate summit after Australia concedes bid - Grenada Chronicle – Daily Grenada And Caribbean News,https://grenadachronicle.com/turkiye-to-host-cop31-climate-summit-after-australia-concedes-bid/,,https://grenadachronicle.com/app/uploads/2025/11/AA-20251106-39635813-39635811-CEVDET_YILMAZ_LUIZ_INACIO_LULA_DA_SILVA_MEETING_IN_BRAZIL-1763595494-gQ0WFG.jpg,20251120T063000Z,grenadachronicle.com,United States,English,pending,,2025-11-20T08:48:26.647036
Bhupender Yadav participates in 11th JCM Partner Countrie Meeting at COP30 in Brazil,http://www.bignewsnetwork.com/news/278705268/bhupender-yadav-participates-in-11th-jcm-partner-countries-meeting-at-cop30-in-brazil,,https://image.chitra.live/api/v1/wps/c839526/df5e8793-92f1-4b6f-9104-b17cc921c0f2/0/ANI-20251120052358-600x315.jpg,20251120T063000Z,bignewsnetwork.com,United States,English,pending,,2025-11-20T08:48:26.649036
Leaders press on with G20 summit in South Africa that wont have US and Trump,https://www.clickorlando.com/news/world/2025/11/20/leaders-press-on-with-g20-summit-in-south-africa-that-wont-have-us-and-trump/,,"https://res.cloudinary.com/graham-media-group/image/upload/f_auto/q_auto/c_thumb,w_700/v1/media/gmg/YWV6GC632FBGVKCFUCHS7ABRIU.jpg?_a=DATAg1eAZAA0",20251120T061500Z,clickorlando.com,United States,English,pending,,2025-11-20T08:48:26.652036
"Ticker | News , Sports , Jobs - Altoona Mirror",https://www.altoonamirror.com/news/national-news-apwire/2025/11/ticker-1193/,,http://d14e0irai0gcaa.cloudfront.net/www.altoonamirror.com/images/2016/10/18173137/fblike.jpg,20251120T061500Z,altoonamirror.com,United States,English,pending,,2025-11-20T08:48:26.654036
NYC Proceeds With Flood Protection Project in Red Hook,https://amsterdamnews.com/news/2025/11/20/new-york-city-proceeds-with-flood-protection-project-in-brooklyns-red-hook-neighborhood/,,https://i0.wp.com/amsterdamnews.com/wp-content/uploads/2025/11/REDHOOK-WATER-ILLUSTRATION-AMANDA-ULLOA-scaled.png?fit=2560%2C2458&ssl=1,20251120T061500Z,amsterdamnews.com,United States,English,pending,,2025-11-20T08:48:26.656036
