Date,Channel,Keyword,Message Text,Link
"2025-12-11 04:01:24","PHLNews","shell","Shell sued in UK over 2021 Philippine Typhoon Odette -- NGOs  https://www.gmanetwork.com/news/topstories/nation/969181/shell-sued-in-uk-over-2021-philippine-typhoon-odette-ngos/story/","https://t.me/PHLNews/199582"
"2025-10-30 00:39:54","PHLNews","shell","Filipino Odette survivors sue Shell over typhoon losses  https://www.philstar.com/climate-and-environment/2025/10/30/2483612/filipino-odette-survivors-sue-shell-over-typhoon-losses","https://t.me/PHLNews/198104"
"2025-07-25 07:35:15","PHLNews","shell","The Royal Thai Army deployed its M758 Autonomous Howitzer early Thursday, firing multiple 155mm shells at Cambodian military positions near the Preah Vihear temple. The strikes mark a sharp escalation following Cambodia’s RM-70 rocket barrage that killed at least 14 civilians in Thai border towns. Thailand’s Defense Ministry said the precision artillery strike targeted command posts and artillery depots used in recent attacks. No official casualty figures have been released by Phnom Penh, but regional observers warn the exchange risks triggering a broader conflict if diplomacy fails.","https://t.me/PHLNews/194719"
"2025-04-17 07:38:03","PHLNews","shell","Tax court grants oil firm’s P85-M refund  https://newsinfo.inquirer.net/2053435/tax-court-grants-oil-firms-p85-m-refund","https://t.me/PHLNews/191485"
"2025-04-11 22:50:54","PHLNews","shell","Meralco readies hefty power rate increase for April consumption  https://newsinfo.inquirer.net/2052145/meralco-readies-hefty-power-rate-increase-for-april-consumption","https://t.me/PHLNews/191315"
"2025-02-01 07:05:44","PHLNews","shell","LPG prices up this February  https://www.philstar.com/business/2025/02/01/2418447/lpg-prices-february","https://t.me/PHLNews/188957"
"2024-11-14 08:56:50","PHLNews","shell","'New chapter': First Philippine eagle chick hatches at new Davao sanctuary  https://www.philstar.com/headlines/2024/11/14/2400101/new-chapter-first-philippine-eagle-chick-hatches-new-davao-sanctuary","https://t.me/PHLNews/186555"
"2024-10-14 23:40:34","PHLNews","shell","Hefty oil price hikes take effect on Oct. 15  https://newsinfo.inquirer.net/1992622/hefty-oil-price-hikes-take-effect-on-oct-15","https://t.me/PHLNews/185515"
"2024-07-08 22:27:53","PHLNews","shell","Oil firms hike prices anew  https://newsinfo.inquirer.net/1959167/oil-firms-hike-prices-anew","https://t.me/PHLNews/182041"
"2023-10-02 21:44:12","PHLNews","shell","Gasoline prices drop, but diesel up  https://newsinfo.inquirer.net/1839976/gasoline-prices-drop-but-diesel-up","https://t.me/PHLNews/171685"
"2023-07-26 06:26:49","PHLNews","shell","House reso to probe ‘indiscriminate’ aerial bombings filed  https://www.philstar.com/headlines/2023/07/26/2283962/house-reso-probe-indiscriminate-aerial-bombings-filed","https://t.me/PHLNews/169092"
"2023-07-25 08:29:09","PHLNews","shell","Oil companies raise fuel prices anew  https://newsinfo.inquirer.net/1806751/oil-companies-raise-fuel-prices-anew-3","https://t.me/PHLNews/169052"
"2023-06-26 12:34:07","PHLNews","shell","Estrada sees passage of MUP pension reform by year's end  https://www.gmanetwork.com/news/topstories/nation/874023/estrada-sees-passage-of-mup-pension-reform-by-year-s-end/story/","https://t.me/PHLNews/167928"
"2023-06-19 11:14:23","PHLNews","shell","DENR asked to scrap MOU with oil firm  https://newsinfo.inquirer.net/1789944/denr-asked-to-scrap-mou-with-oil-firm","https://t.me/PHLNews/167681"
"2023-06-05 23:55:14","PHLNews","shell","Local oil companies roll back fuel prices  https://newsinfo.inquirer.net/1779928/local-oil-companies-roll-back-fuel-prices","https://t.me/PHLNews/167198"
"2023-04-23 02:33:11","PHLNews","shell","Immigration warns vs love scams that also use fake letters from the bureau  https://www.philstar.com/headlines/2023/04/23/2261024/immigration-warns-vs-love-scams-also-use-fake-letters-bureau","https://t.me/PHLNews/165452"
"2023-04-21 10:23:57","PHLNews","shell","De Lima says she'll gain freedom based on merits of her case, not for humanitarian reasons  https://www.philstar.com/headlines/2023/04/21/2260634/de-lima-says-shell-gain-freedom-based-merits-her-case-not-humanitarian-reasons","https://t.me/PHLNews/165391"
"2023-02-22 19:07:56","PHLNews","shell","Startup with 1st plantable bamboo toothbrush wins Shell LiveWIRE grand prize  https://mb.com.ph/2023/02/22/startup-with-1st-plantable-bamboo-toothbrush-wins-shell-livewire-grand-prize/?utm_source=rss&utm_medium=rss&utm_campaign=startup-with-1st-plantable-bamboo-toothbrush-wins-shell-livewire-grand-prize","https://t.me/PHLNews/163723"
"2023-02-11 04:59:14","PHLNews","shell","New Shell V-Power formula cleans and restores power  https://mb.com.ph/2023/02/11/new-shell-v-power-formula-cleans-and-restores-power/?utm_source=rss&utm_medium=rss&utm_campaign=new-shell-v-power-formula-cleans-and-restores-power","https://t.me/PHLNews/162388"
"2023-02-02 10:17:41","PHLNews","shell","2023 BCYF Innovation Award nominations open until mid-Feb, P1-M cash prize up for grabs – DOST  https://mb.com.ph/2023/02/02/2023-bcyf-innovation-award-nominations-open-until-mid-feb-p1-m-cash-prize-up-for-grabs-dost/?utm_source=rss&utm_medium=rss&utm_campaign=2023-bcyf-innovation-award-nominations-open-until-mid-feb-p1-m-cash-prize-up-for-grabs-dost","https://t.me/PHLNews/161424"
"2023-01-22 12:41:30","PHLNews","shell","Shell to help DOE on EV charger standards  https://mb.com.ph/2023/01/22/shell-to-help-doe-on-ev-charger-standards/?utm_source=rss&utm_medium=rss&utm_campaign=shell-to-help-doe-on-ev-charger-standards","https://t.me/PHLNews/160085"
"2023-01-19 08:46:19","PHLNews","shell","DOE, Shell ink EV charging deal  https://mb.com.ph/2023/01/19/doe-shell-ink-ev-charging-deal/?utm_source=rss&utm_medium=rss&utm_campaign=doe-shell-ink-ev-charging-deal","https://t.me/PHLNews/159771"
"2023-01-17 15:06:40","PHLNews","shell","Pilipinas Shell, SUN Mobility to bring advanced battery swapping technology for electric mobility to the Philippines  https://mb.com.ph/2023/01/17/pilipinas-shell-sun-mobility-to-bring-advanced-battery-swapping-technology-for-electric-mobility-to-the-philippines/?utm_source=rss&utm_medium=rss&utm_campaign=pilipinas-shell-sun-mobility-to-bring-advanced-battery-swapping-technology-for-electric-mobility-to-the-philippines","https://t.me/PHLNews/159555"
"2023-01-12 13:21:36","PHLNews","shell","Last Ukraine doctors offer lifeline in shell-ridden Bakhmut  https://mb.com.ph/2023/01/12/last-ukraine-doctors-offer-lifeline-in-shell-ridden-bakhmut/?utm_source=rss&utm_medium=rss&utm_campaign=last-ukraine-doctors-offer-lifeline-in-shell-ridden-bakhmut","https://t.me/PHLNews/159023"
"2022-12-26 01:32:49","PHLNews","shell","Putin says West wants to ‘tear apart’ Russia  https://mb.com.ph/2022/12/26/putin-says-west-wants-to-tear-apart-russia/?utm_source=rss&utm_medium=rss&utm_campaign=putin-says-west-wants-to-tear-apart-russia","https://t.me/PHLNews/157266"
"2022-12-02 01:37:13","PHLNews","shell","Pilipinas Shell CEO shares employee care and sustainability strategies at PH Digicon 2022  https://mb.com.ph/2022/12/02/pilipinas-shell-ceo-shares-employee-care-and-sustainability-strategies-at-ph-digicon-2022/?utm_source=rss&utm_medium=rss&utm_campaign=pilipinas-shell-ceo-shares-employee-care-and-sustainability-strategies-at-ph-digicon-2022","https://t.me/PHLNews/154833"
"2022-11-22 06:01:00","PHLNews","shell","DOST-funded clean tech startup bags top award in Shell liveWIRE global  https://mb.com.ph/2022/11/22/dost-funded-clean-tech-startup-bags-top-award-in-shell-livewire-global/?utm_source=rss&utm_medium=rss&utm_campaign=dost-funded-clean-tech-startup-bags-top-award-in-shell-livewire-global","https://t.me/PHLNews/153736"
"2022-11-14 09:16:51","PHLNews","shell","Pilipinas Shell income rises to P4.4-B in Q3  https://mb.com.ph/2022/11/14/pilipinas-shell-income-rises-to-p4-4-b-in-q3/?utm_source=rss&utm_medium=rss&utm_campaign=pilipinas-shell-income-rises-to-p4-4-b-in-q3","https://t.me/PHLNews/152830"
"2022-11-02 03:30:13","PHLNews","shell","Razon firm absorbs 300 employees from SPEX  https://mb.com.ph/2022/11/02/razon-firm-absorbs-300-employees-from-spex/?utm_source=rss&utm_medium=rss&utm_campaign=razon-firm-absorbs-300-employees-from-spex","https://t.me/PHLNews/151443"
"2022-11-01 00:54:08","PHLNews","shell","Shell formally exits Malampaya gas project  https://mb.com.ph/2022/11/01/shell-formally-exits-malampaya-gas-project/?utm_source=rss&utm_medium=rss&utm_campaign=shell-formally-exits-malampaya-gas-project","https://t.me/PHLNews/151349"
"2022-10-28 08:00:54","PHLNews","shell","Capadocia dumps Milliam, nears eighth PCA Open title  https://mb.com.ph/2022/10/28/capadocia-dumps-milliam-nears-eighth-pca-open-title/?utm_source=rss&utm_medium=rss&utm_campaign=capadocia-dumps-milliam-nears-eighth-pca-open-title","https://t.me/PHLNews/150959"
"2022-10-24 07:48:06","PHLNews","shell","7-time champ Capadocia dumps Mercado in PCA Open  https://mb.com.ph/2022/10/24/7-time-champ-capadocia-dumps-mercado-in-pca-open/?utm_source=rss&utm_medium=rss&utm_campaign=7-time-champ-capadocia-dumps-mercado-in-pca-open","https://t.me/PHLNews/150443"
